,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
625,625,23139,4.97914,17.987082,10.39,-34.26,-66.56,9.02,0.573,0,0,0.10192165396855435
627,627,20186,4.326863,21.773491,10.32,29.77,-41.39,5.34,-0.107,0,0,0.27987893420124205
631,631,24477,5.252927,8.43238,10.27,10.79,-39.06,7.25,0.368,0,0,0.10938684176750652
632,632,18266,3.907731,21.389759,10.26,19.84,-41.69,10.96,0.737,0,0,0.2513508098039421
638,638,14439,3.106579,13.18725,10.21,-3.31,-62.68,5.64,1.087,0,0,0.25618204260286637
641,641,16155,3.469707,4.15209,10.17,50.55,-33.25,8.69,0.5329999999999999,0,0,0.1865770269425836
645,645,17921,3.831965,22.244151,10.14,23.88,-45.9,6.05,-0.006,0,0,0.3088815456207795
646,646,14554,3.131174,23.687926,10.13,35.43,-50.02,7.97,0.32,0,0,0.3339966727620502
648,648,15960,3.4241580000000003,8.427144,10.12,27.9,-26.36,9.5,0.537,0,0,0.014664577466069072
649,649,17892,3.827272,22.533483,10.12,17.8,-45.0,7.01,0.033,0,0,0.2775023811772206
650,650,17481,3.745793,20.748003,10.1,16.68,-44.35,8.7,0.394,0,0,0.2662456387483489
652,652,24104,5.1777690000000005,15.279484,10.09,6.35,-47.47,8.16,0.5329999999999999,0,0,0.21403658244462515
653,653,19617,4.203574,14.932448,10.08,55.36,-69.45,8.61,0.465,0,0,0.33542270155607257
655,655,23938,5.144234,13.966369,10.06,14.6,-29.3,8.92,0.627,0,0,-0.07173504883343203
657,657,13932,2.991862,6.3396550000000005,10.04,3.15,-29.88,9.33,0.472,0,0,-0.22092815375881664
659,659,17511,3.749701,22.032454,10.0,18.31,-42.76,9.49,0.489,0,0,0.2567336396411625
660,660,20136,4.316997,21.299337,9.99,37.36,-40.48,8.2,0.45,0,0,0.2764094648621861
662,662,16753,3.592138,22.823588,9.98,23.92,-44.12,9.86,0.54,0,0,0.293168446009082
663,663,23621,5.078279,14.85903,9.98,2.92,-30.31,6.78,0.139,0,0,-0.20443649384056214
664,664,17091,3.661438,23.290875,9.97,23.15,-46.14,9.94,0.608,0,0,0.3065104504060157
665,665,28663,6.0524010000000015,14.36511,9.96,8.17,-64.66,8.3,0.491,0,0,0.32772945035596873
667,667,22708,4.883108,11.263688,9.92,-15.78,-113.08,10.0,0.665,0,0,0.2622970952482026
668,668,21246,4.558023,24.279311,9.9,24.57,-18.36,7.79,0.32,0,0,-0.17876653539898
669,669,19411,4.157562,6.72505,9.88,26.97,-56.72,6.74,0.098,0,0,0.3462331055290624
671,671,17694,3.789694,22.922122,9.87,19.74,-45.2,8.17,0.255,0,0,0.2891244046326438
673,673,17999,3.847896,23.96147,9.83,16.8,-45.76,6.95,0.078,0,0,0.275219455995456
674,674,19420,4.159164,17.499374,9.81,36.08,-22.96,9.11,0.518,0,0,0.03575627766616973
676,676,15153,3.255201,14.303084,9.77,11.85,-28.15,8.0,0.615,0,0,-0.14581955331225677
678,678,17497,3.747566,23.268923,9.76,22.71,-43.67,8.98,0.403,0,0,0.28538910376439014
679,679,18528,3.962385,5.738782,9.76,20.65,-29.69,7.82,0.504,0,0,-0.0018040980948636843
680,680,17489,3.746727,24.28947,9.75,20.73,-44.0,5.45,-0.034,0,0,0.2767476014587201
683,683,17572,3.76356,23.147149,9.68,21.06,-44.49,6.85,0.06,0,0,0.287522838340479
684,684,18544,3.967137,20.676803,9.68,20.59,-49.46,9.4,0.518,0,0,0.32546469849878007
686,686,17595,3.769267,6.803521000000001,9.68,-1.82,-55.42,5.91,0.992,0,0,0.2059598217661487
688,688,22893,4.923966,10.208272,9.66,56.84,-19.85,9.16,0.5429999999999999,0,0,0.07296609044883107
689,689,19187,4.112298,17.663432999999994,9.64,35.87,-25.72,8.44,0.502,0,0,0.0851965285837266
690,690,17776,3.805782,23.42125,9.64,19.14,-46.8,5.44,-0.067,0,0,0.2963752649462048
693,693,25848,5.517885,23.20966,9.61,7.5,-38.97,9.17,0.649,0,0,0.09096562979829216
695,695,27347,5.792374,15.714408,9.59,3.86,-150.22,8.3,0.858,0,0,0.25169006707107217
696,696,15110,3.24836,21.044441,9.59,-29.83,-77.15,4.87,-0.006999999999999999,0,0,0.1754815622882107
697,697,14929,3.209142,18.943572,9.58,12.22,-22.94,8.42,0.526,0,0,-0.2717279661190645
704,704,26157,5.576438,17.140369,9.49,-39.41,-72.02,9.01,0.7509999999999999,0,0,0.11075362783123173
705,705,19586,4.197592,24.430797,9.48,31.88,-32.74,8.93,0.438,0,0,0.17581503241613403
706,706,17401,3.728204,23.64915,9.48,20.36,-45.1,7.93,0.34700000000000003,0,0,0.28926199812269887
708,708,25790,5.507268,15.360449,9.47,-13.48,-38.58,5.93,0.103,0,0,-0.14297575157382816
710,710,13940,2.993051,5.6855129999999985,9.47,-58.97,-86.23,12.1,1.211,0,0,0.09754549337866908
715,715,15928,3.41961,12.485374,9.42,33.82,-31.01,7.42,0.277,0,0,0.15686049740322644
717,717,21194,4.54429,12.216408,9.42,-67.09,-150.2,10.93,0.759,0,0,0.15330507809005256
722,722,19358,4.147084,17.291657,9.37,14.44,-40.14,7.64,0.156,0,0,0.19139913331255412
728,728,20597,4.411671,10.046659,9.31,23.43,-51.52,7.22,0.21,0,0,0.33112880877971934
729,729,19271,4.13086,5.6927080000000005,9.27,-5.76,-80.28,9.61,0.602,0,0,0.2835229956842586
731,731,13530,2.904225,13.331008,9.25,-20.32,-127.25,8.74,0.8290000000000001,0,0,0.2438154804282043
732,732,16689,3.578571,6.843291000000002,9.24,18.57,-50.69,9.58,0.6809999999999999,0,0,0.2984802439070224
733,733,17225,3.689713,23.486938,9.21,22.49,-44.32,9.17,0.4370000000000001,0,0,0.28993171094792386
734,734,21155,4.535305,5.625655,9.2,34.82,-31.74,8.76,0.455,0,0,0.1499380540014121
736,736,16511,3.5433190000000003,9.373438,9.18,32.55,-49.15,5.76,-0.07200000000000001,0,0,0.3256542791135868
739,739,15668,3.364243,11.309447,9.15,65.11,-76.38,10.39,0.887,0,0,0.2792661911739455
746,746,17608,3.772104,23.948358,9.08,21.17,-42.67,4.14,-0.051,0,0,0.2629607711708537
747,747,23085,4.968476,13.034872,9.08,10.9,-57.38,10.43,0.87,0,0,0.31488378074432927
749,749,17573,3.76378,24.367749,9.06,21.09,-45.03,3.87,-0.063,0,0,0.28414109805677257
750,750,25652,5.4799419999999985,23.957988,9.06,-20.58,-40.26,8.88,0.616,0,0,-0.13404594638207037
752,752,17704,3.791515,24.288344,9.05,17.84,-44.94,6.83,0.066,0,0,0.27261619069279464
754,754,24998,5.353324,11.109357,9.04,-16.17,-52.65,7.46,0.371,0,0,0.07366889868903773
760,760,18297,3.912644,9.17758,8.98,23.61,-38.45,7.42,0.069,0,0,0.20983879717461343
763,763,23057,4.962067,7.310875999999999,8.95,-16.22,-62.75,9.25,0.528,0,0,0.16490479418892723
767,767,20985,4.500636,10.262214,8.92,-25.03,-78.44,6.47,1.038,0,0,0.19894470540161854
769,769,16241,3.488774,16.198359,8.91,23.32,-39.84,8.33,0.465,0,0,0.24764806273261536
770,770,17512,3.749703,8.319569,8.9,30.87,-26.02,9.1,0.4,0,0,0.0347182081613898
771,771,26183,5.581804,18.122631,8.9,26.8,-24.57,9.15,0.551,0,0,-0.021657512986018618
773,773,14298,3.072285,11.136141,8.89,0.64,-50.57,8.79,0.552,0,0,0.18927467474246648
774,774,19193,4.113283,4.888301,8.88,-2.52,-34.88,8.9,0.473,0,0,-0.15638052383741252
775,775,17702,3.79141,24.105137,8.87,19.35,-43.11,2.85,-0.086,0,0,0.2546376644520711
779,779,17044,3.653743,24.466521,8.85,20.2,-45.09,10.4,0.616,0,0,0.2834121759078751
781,781,18502,3.956601,21.553663,8.84,9.6,-43.24,8.96,0.625,0,0,0.19047185895664995
783,783,15923,3.418574,7.393446000000001,8.82,37.43,-31.0,9.44,0.5539999999999999,0,0,0.15441881842046914
785,785,22012,4.731548,12.6856,8.81,-5.09,-67.86,9.76,0.706,0,0,0.26677864508871846
788,788,18550,3.968674,5.5812870000000006,8.8,43.94,-34.08,9.03,0.464,0,0,0.1962220904429612
789,789,17499,3.747927,24.113339,8.8,21.55,-44.92,3.72,-0.105,0,0,0.28507203425876315
792,792,18864,4.044032,15.062026,8.78,-1.24,-59.67,8.74,0.644,0,0,0.2548900521007934
794,794,18146,3.879819,9.978739,8.77,40.23,-9.78,8.23,0.385,0,0,-0.15609807632416337
