,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
526,531,531,4872,70,1279,1,3.5500410000000002,6.643026,26.3,-5.3,10.960999999999999,10.191,10.122,0.655,      ,16541.0,8.26,0,1,0,0.12555067806943146
530,535,535,4876,70,1311,1,3.647132,7.498324,4.3,-54.0,11.684000000000001,11.312999999999999,11.28,0.315,      ,,,0,1,0,0.15153106977134667
532,537,537,4878,70,1314,1,3.634759,7.2508610000000004,0.6,-37.5,11.739,11.15,11.097000000000001,0.501,      ,,,0,1,0,0.2387252656916999
536,541,541,4882,70,1335,1,3.5126150000000003,6.188703,34.1,-16.5,7.12,6.025,5.926,0.9309999999999999,21755,16358.0,6.31,0,1,0,0.3203065867446006
539,544,544,4885,71,75,1,3.6734050000000003,5.2423839999999995,20.2,-19.2,11.056,9.666,9.541,1.182,      ,,,0,1,0,0.3211326223993639
544,549,549,4890,71,178,1,3.6969529999999997,6.4179080000000015,-3.7,-31.2,11.186,10.49,10.427,0.5920000000000001,      ,,,0,1,0,0.09618793295574811
548,553,553,4894,71,238,1,3.726124,6.308209,14.1,-8.3,11.404000000000002,10.811,10.758,0.504,      ,,,0,1,0,-0.10163785799816823
555,560,560,4901,71,368,1,3.679386,5.0399199999999995,19.6,-13.0,11.398,10.673,10.607999999999999,0.616,      ,,,0,1,0,0.1888628386311402
564,569,569,4910,71,708,1,3.787091,5.439936,21.7,-18.7,10.002,9.516,9.472000000000001,0.413,      ,17677.0,5.28,0,1,0,0.32760789134101365
566,571,571,4912,71,769,1,3.7877989999999997,6.119211,41.7,-27.8,9.985,9.388,9.334,0.507,      ,17680.0,4.31,0,1,0,0.3692585628599441
574,579,579,4920,71,971,1,3.70433,7.216525,22.2,-1.5,12.325999999999999,10.994000000000002,10.874,1.1320000000000001,      ,,,0,1,0,-0.03913260490624402
577,582,582,4923,71,1014,1,3.6738989999999996,5.13052,26.5,-36.8,11.07,10.265999999999998,10.193999999999999,0.6829999999999999,      ,,,0,1,0,0.4161668588974379
578,583,583,4924,71,1019,1,3.690092,7.05463,31.7,-9.8,11.585,10.442,10.339,0.972,      ,,,0,1,0,0.25148493109834635
579,584,584,4925,71,1037,1,3.741049,6.9408710000000005,5.3,-33.8,11.725,10.119,9.974,1.365,      ,,,0,1,0,0.2905214448172064
583,588,588,4929,71,1097,1,3.6772480000000014,7.0522979999999995,1.5,-24.2,11.078,10.425,10.366,0.555,      ,,,0,1,0,0.0601938914726952
592,597,597,4938,71,1192,1,3.698976,7.269614999999999,19.0,-8.4,11.242,10.539000000000001,10.475999999999999,0.598,      ,,,0,1,0,0.06122421698639676
593,598,598,4939,71,1198,1,3.683236,7.230816,7.9,-14.3,11.343,11.18,11.165,0.139,      ,,,0,1,0,-0.11071514421381182
595,600,600,4941,71,1220,1,3.773689,7.244269,6.9,-34.7,9.369,7.82,7.681,1.317,23570,,,0,1,0,0.3163058454555785
597,602,602,4943,71,1222,1,3.8005699999999996,7.129633,19.5,-4.8,9.283,8.011000000000001,7.897,1.081,23779,17752.0,5.1,0,1,0,-0.02844683461521497
599,604,604,4945,71,1224,1,3.7612330000000003,6.049981,14.9,-19.8,5.206,5.322,5.332000000000002,-0.099,23466,17563.0,5.54,0,1,0,0.23612569746347847
601,606,606,4947,71,1226,1,3.674865,5.129893,10.7,-12.6,10.255999999999998,9.633,9.577,0.53,      ,17158.0,,0,1,0,-0.070592182972586
602,607,607,4948,72,20,1,3.9250589999999996,5.160496,-0.1,-23.8,11.126,10.514000000000001,10.459000000000001,0.52,      ,,,0,1,0,-0.000682467877247219
606,612,612,4953,72,192,1,3.97316,7.473826,4.0,-20.2,9.131,7.735,7.609,1.187,24973,,,0,1,0,-0.0015174941778970457
610,616,616,4957,72,247,1,3.9959870000000004,7.3344190000000005,10.4,-29.5,11.408,10.642000000000001,10.573,0.6509999999999999,      ,,,0,1,0,0.34046416243446637
613,619,619,4960,72,339,1,3.9623839999999997,5.738782,20.4,-28.8,8.415,7.877999999999999,7.83,0.456,24900,18528.0,9.76,0,1,0,0.4049771573885853
614,620,620,4961,72,344,1,3.9180940000000004,5.6798230000000025,18.3,-13.3,10.073,9.613999999999999,9.573,0.39,      ,,,0,1,0,0.17816397626469235
617,623,623,4964,72,382,1,3.97594,6.141122,27.9,-15.3,10.582,9.812999999999999,9.744,0.654,      ,,,0,1,0,0.31547472151471523
