,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades
111,4150,59,496,1,3.3123129999999996,3.662404,-2.7,-7.5,11.467,11.089,11.055,0.321,      ,,,0
112,4151,59,504,1,3.2216139999999998,4.762693,12.7,-17.5,10.431,9.738,9.676,0.589,      ,,,0
113,4152,59,551,1,3.214159,4.234858,36.8,-13.8,10.95,9.87,9.773,0.9179999999999999,      ,,,0
114,4153,59,579,1,3.288526,4.264787999999999,12.9,-35.8,11.839,10.907,10.823,0.792,      ,,,0
115,4154,59,594,1,3.273191,4.744144,1.4,2.0,10.98,10.501,10.458,0.40700000000000003,      ,,,0
116,4155,59,605,1,3.207585,3.964606,-59.9,-34.9,10.741,10.032,9.968,0.603,      ,,,0
117,4156,59,607,1,3.301793,4.9694199999999995,-17.1,-17.4,8.309,8.023,7.997000000000001,0.243,20513,15365.0,8.12,0
118,4157,59,622,1,3.305309,4.8285599999999995,6.8,-78.8,11.536,10.51,10.418,0.872,      ,,,0
119,4158,59,628,1,3.2870519999999996,4.263269,-9.3,-8.0,11.899000000000001,10.852,10.758,0.89,      ,,,0
120,4159,59,647,1,3.2488040000000002,4.300179,4.4,-5.8,9.126,8.885,8.863,0.205,20203,15115.0,4.14,0
121,4160,59,654,1,3.2913059999999996,4.459304,12.1,-19.6,11.432,11.062000000000001,11.029000000000002,0.315,      ,,,0
122,4161,59,701,1,3.2101,3.961074,25.4,0.3,10.088,9.456,9.399,0.537,      ,14937.0,6.34,0
123,4162,59,721,1,3.316415,4.605033000000001,-15.4,-43.4,11.06,10.25,10.177,0.6890000000000001,      ,,,0
124,4164,59,734,1,3.332135,3.996973,-2.9,-5.8,12.073,10.593,10.46,1.258,      ,,,0
125,4165,59,758,1,3.330344,4.839192,16.6,-1.5,11.205,10.702,10.657,0.428,      ,,,0
126,4166,59,767,1,3.2898949999999996,4.734582,6.5,-7.8,12.074000000000002,10.31,10.151,1.499,      ,,,0
127,4167,59,814,1,3.232412,4.854318,-3.2,-16.8,10.978,10.308,10.248,0.57,      ,,,0
128,4168,59,843,1,3.173767,4.25817,14.8,-5.6,9.668,9.247,9.209,0.358,19699,14746.0,8.75,0
129,4169,59,848,1,3.333275,4.647767,14.8,-36.5,12.238,10.940999999999999,10.824000000000002,1.102,      ,,,0
130,4170,59,869,1,3.3123970000000003,3.6459370000000004,19.0,-4.5,11.487,10.777999999999999,10.714,0.603,      ,,,0
