,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
749,749,17573,3.76378,24.367749,9.06,21.09,-45.03,3.87,-0.063,0,1,0.05152690394792712
750,750,25652,5.4799419999999985,23.957988,9.06,-20.58,-40.26,8.88,0.616,0,1,-0.17319919704014933
752,752,17704,3.791515,24.288344,9.05,17.84,-44.94,6.83,0.066,0,1,0.04374995660200022
754,754,24998,5.353324,11.109357,9.04,-16.17,-52.65,7.46,0.371,0,1,0.0644061405809337
760,760,18297,3.912644,9.17758,8.98,23.61,-38.45,7.42,0.069,0,1,-0.13539055870143304
763,763,23057,4.962067,7.310875999999999,8.95,-16.22,-62.75,9.25,0.528,0,1,0.19878294113874595
767,767,20985,4.500636,10.262214,8.92,-25.03,-78.44,6.47,1.038,0,1,0.2860910540522408
769,769,16241,3.488774,16.198359,8.91,23.32,-39.84,8.33,0.465,0,1,-0.08367573249214966
773,773,14298,3.072285,11.136141,8.89,0.64,-50.57,8.79,0.552,0,1,0.07945272704286124
775,775,17702,3.79141,24.105137,8.87,19.35,-43.11,2.85,-0.086,0,1,-0.0028284009701682942
