,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades
295,22350,4.811701,21.100987,19.3,81.87,-46.43,9.06,0.843,0
296,22957,4.939521,13.514466,19.26,-77.77,-45.97,4.06,1.158,0
297,21926,4.714519,18.144884,19.22,61.63,-121.96,10.27,0.818,0
298,14974,3.217248,20.729908,19.2,-44.39,-65.23,8.65,0.617,0
299,15381,3.3055510000000004,18.171623,19.19,-82.92,-103.63,7.52,0.642,0
300,20419,4.373803,11.305714,19.17,115.03,-6.69,9.79,1.183,0
301,20397,4.36693,12.509087,19.15,29.73,66.31,9.27,0.6890000000000001,0
302,14803,3.186201,9.196367,19.13,238.1,-71.82,11.31,1.25,0
303,21475,4.61147,11.912362,18.93,165.74,-29.14,9.94,0.852,0
304,22654,4.873203,18.996917,18.93,78.66,-31.45,10.29,1.07,0
305,24883,5.334335,13.544989000000001,18.93,-20.2,-89.59,7.5,0.561,0
306,14810,3.187286,21.097359,18.91,-3.01,-53.57,8.52,0.777,0
307,13600,2.92119,17.89171,18.89,117.79,-13.2,8.83,0.7040000000000001,0
308,23871,5.130111,20.418379,18.8,-49.12,-31.33,5.28,0.11800000000000001,0
309,17305,3.704422,22.786456,18.79,21.57,-75.5,7.4,0.428,0
310,23750,5.104997,17.816414,18.78,64.38,-31.98,8.82,0.73,0
311,20567,4.406187,17.078951,18.74,99.08,-27.93,6.96,0.45,1
312,24177,5.191594,10.121019,18.73,-37.88,-216.59,11.97,1.4609999999999999,0
313,28428,6.0038290000000005,4.835526,18.69,-60.84,136.49,7.46,0.639,0
314,25860,5.520494,15.773451000000001,18.66,-43.48,-373.23,8.64,0.669,0
315,26651,5.6643040000000004,24.225465,18.64,-3.06,40.18,7.12,0.39799999999999996,0
316,27878,5.899652,12.419437,18.64,-8.44,-260.15,7.76,0.59,0
317,22826,4.912126,12.352200999999999,18.58,92.23,-39.95,7.13,0.583,0
318,26382,5.617704,17.040324,18.56,42.9,-34.86,5.53,0.237,0
319,19257,4.127623000000001,9.494036,18.55,-50.75,-35.61,11.49,1.165,0
320,23983,5.155456,9.829578999999999,18.54,63.54,-7.87,5.43,0.249,0
321,24660,5.291872,14.514041,18.54,11.69,-74.92,8.54,0.667,0
322,25082,5.36978,5.3953050000000005,18.46,49.12,-50.64,7.01,0.516,0
323,23498,5.052127,13.730669,18.44,65.95,-18.46,9.0,0.765,0
324,20873,4.473167,14.740974,18.42,109.72,-21.27,5.9,0.325,1
325,21918,4.713565,12.209764999999999,18.42,80.19,-227.59,7.4,0.76,0
326,15278,3.2851440000000003,24.03515,18.4,107.1,6.09,8.96,0.7190000000000001,0
327,22616,4.865883999999999,9.872702,18.3,20.57,-29.64,6.82,0.423,0
328,24923,5.340395,11.609817999999999,18.26,50.64,-13.41,9.03,0.765,0
329,20087,4.306445,21.579297,18.25,96.42,-33.92,5.64,0.27699999999999997,0
330,16538,3.549315,16.598428,18.16,-22.39,-96.1,7.03,0.503,0
331,19789,4.241783,22.451864999999998,18.12,95.09,-34.1,7.05,0.424,0
332,15074,3.238277,9.130905,18.08,273.8,-81.77,11.16,1.16,0
333,19038,4.078254,22.081926,18.04,91.73,-58.52,4.36,1.064,0
334,13977,3.000855,9.178807,17.99,120.6,139.67,10.03,0.84,0
335,21912,4.712184,16.513685,17.92,-177.92,-196.32,11.3,1.27,0
336,25677,5.483924,10.249279,17.9,122.04,-79.77,10.98,1.629,0
337,26689,5.671563,16.39282,17.82,56.67,-162.29,7.36,0.524,0
338,24180,5.191947,5.7032099999999994,17.75,60.65,-139.87,7.88,0.522,0
339,25586,5.468329,22.93046,17.69,-119.41,-81.74,8.67,0.6890000000000001,0
340,21703,4.66014,13.123099,17.64,236.38,-141.18,8.93,0.83,0
